month,year,value
1,1953,1.9
2,1953,1.9
3,1953,1.9
4,1953,2.0 
5,1953,2.1 
6,1953,2.0 
7,1953,1.8 
8,1953,1.8 
9,1953,1.7 
10,1953,1.8 
11,1953,1.8 
12,1953,1.6 
1,1954,1.7 
2,1954,1.9 
3,1954,2.0 
4,1954,2.0 
5,1954,2.4 
6,1954,2.4 
7,1954,2.6 
8,1954,2.8 
9,1954,2.6 
10,1954,2.6 
11,1954,2.7 
12,1954,2.8 
1,1955,2.7 
2,1955,2.6 
3,1955,2.4 
4,1955,2.6 
5,1955,2.5 
6,1955,2.8 
7,1955,2.7 
8,1955,2.7 
9,1955,2.8 
10,1955,2.9 
11,1955,2.6 
12,1955,2.6 
1,1956,2.7 
2,1956,2.6 
3,1956,2.7 
4,1956,2.5 
5,1956,2.3 
6,1956,2.1 
7,1956,2.2 
8,1956,2.0 
9,1956,2.2 
10,1956,2.0 
11,1956,2.2 
12,1956,2.4 
1,1957,2.1 
2,1957,2.0 
3,1957,1.9 
4,1957,1.9 
5,1957,1.7 
6,1957,1.6 
7,1957,1.7 
8,1957,1.8 
9,1957,1.9 
10,1957,1.9 
11,1957,1.9 
12,1957,1.9 
1,1958,1.9 
2,1958,2.1 
3,1958,2.1 
4,1958,2.1 
5,1958,2.2 
6,1958,2.3 
7,1958,2.3 
8,1958,2.4 
9,1958,2.3 
10,1958,2.3 
11,1958,2.2 
12,1958,1.9 
1,1959,2.4 
2,1959,2.5 
3,1959,2.6 
4,1959,2.4 
5,1959,2.4 
6,1959,2.5 
7,1959,2.4 
8,1959,2.4 
9,1959,1.9 
10,1959,2.0 
11,1959,2.1 
12,1959,2.1 
1,1960,1.9 
2,1960,1.7 
3,1960,1.7 
4,1960,1.6 
5,1960,1.7 
6,1960,1.6 
7,1960,1.5 
8,1960,1.4 
9,1960,1.5 
10,1960,1.4 
11,1960,1.4 
12,1960,1.5 
1,1961,1.4 
2,1961,1.4 
3,1961,1.2 
4,1961,1.5 
5,1961,1.4 
6,1961,1.4 
7,1961,1.3 
8,1961,1.4 
9,1961,1.3 
10,1961,1.3 
11,1961,1.2 
12,1961,1.1 
1,1962,1.1 
2,1962,1.2 
3,1962,1.2 
4,1962,1.2 
5,1962,1.0 
6,1962,1.3 
7,1962,1.3 
8,1962,1.0 
9,1962,1.1 
10,1962,1.3 
11,1962,1.3 
12,1962,1.3 
1,1963,1.3 
2,1963,1.3 
3,1963,1.3 
4,1963,1.2 
5,1963,1.3 
6,1963,1.0 
7,1963,1.1 
8,1963,1.2 
9,1963,1.2 
10,1963,1.1 
11,1963,1.2 
12,1963,1.3 
1,1964,1.2 
2,1964,1.2 
3,1964,1.2 
4,1964,1.1 
5,1964,1.0 
6,1964,1.1 
7,1964,1.1 
8,1964,1.1 
9,1964,1.1 
10,1964,1.1 
11,1964,1.0 
12,1964,1.0 
1,1965,1.0 
2,1965,1.1 
3,1965,1.0 
4,1965,1.1 
5,1965,1.1 
6,1965,1.2 
7,1965,1.3 
8,1965,1.2 
9,1965,1.2 
10,1965,1.3 
11,1965,1.2 
12,1965,1.2 
1,1966,1.3 
2,1966,1.1 
3,1966,1.2 
4,1966,1.2 
5,1966,1.3 
6,1966,1.1 
7,1966,1.1 
8,1966,1.3 
9,1966,1.3 
10,1966,1.2 
11,1966,1.2 
12,1966,1.2 
1,1967,1.2 
2,1967,1.2 
3,1967,1.3 
4,1967,1.1 
5,1967,1.1 
6,1967,1.2 
7,1967,1.1 
8,1967,1.0 
9,1967,1.0 
10,1967,1.2 
11,1967,1.3 
12,1967,1.3 
1,1968,1.3 
2,1968,1.3 
3,1968,1.2 
4,1968,1.3 
5,1968,1.1 
6,1968,1.2 
7,1968,1.3 
8,1968,1.3 
9,1968,1.3 
10,1968,1.1 
11,1968,1.1 
12,1968,1.1 
1,1969,1.1 
2,1969,1.2 
3,1969,1.2 
4,1969,1.2 
5,1969,1.3 
6,1969,1.4 
7,1969,1.3 
8,1969,1.2 
9,1969,1.1 
10,1969,1.0 
11,1969,1.0 
12,1969,1.1 
1,1970,1.1 
2,1970,1.2 
3,1970,1.1 
4,1970,1.2 
5,1970,1.1 
6,1970,1.1 
7,1970,1.2 
8,1970,1.3 
9,1970,1.3 
10,1970,1.5 
11,1970,1.3 
12,1970,1.2 
1,1971,1.3 
2,1971,1.2 
3,1971,1.2 
4,1971,1.3 
5,1971,1.3 
6,1971,1.3 
7,1971,1.3 
8,1971,1.3 
9,1971,1.2 
10,1971,1.3 
11,1971,1.4 
12,1971,1.5 
1,1972,1.6 
2,1972,1.5 
3,1972,1.5 
4,1972,1.4 
5,1972,1.4 
6,1972,1.4 
7,1972,1.5 
8,1972,1.5 
9,1972,1.7 
10,1972,1.5 
11,1972,1.5 
12,1972,1.4 
1,1973,1.4 
2,1973,1.3 
3,1973,1.3 
4,1973,1.4 
5,1973,1.4 
6,1973,1.5 
7,1973,1.4 
8,1973,1.2 
9,1973,1.3 
10,1973,1.1 
11,1973,1.3 
12,1973,1.2 
1,1974,1.3 
2,1974,1.4 
3,1974,1.4 
4,1974,1.3 
5,1974,1.4 
6,1974,1.3 
7,1974,1.3 
8,1974,1.5 
9,1974,1.4 
10,1974,1.6 
11,1974,1.5 
12,1974,1.7 
1,1975,1.7 
2,1975,1.8 
3,1975,1.8 
4,1975,1.9 
5,1975,1.8 
6,1975,2.0 
7,1975,1.9 
8,1975,2.0 
9,1975,2.1 
10,1975,2.3 
11,1975,2.2 
12,1975,2.4 
1,1976,2.4 
2,1976,2.1 
3,1976,2.2 
4,1976,2.3 
